uid,data_provider,region,lat(degrees),lon(degrees),date(yyyymmdd),time(hh:mm:ss),abun(cells/L),severity,distance_to_water(m)
actm,Delaware_National_Resources_and_the_University_of_Delaware's_Citizen_Monitoring_Program,south,3872020003,-7508008333,20170821,11:02:00,5392499924,2,0
actx,California_Environmental_Data_Exchange_Network,west,368739,-121745,20200429,22:10:00,1321204,4,2152
acuf,Wyoming_Department_of_Environmental_Quality,west,41964856,-110654119,20180822,16:00:00,2322843677,5,0
acwc,Indiana_State_Department_of_Health,midwest,3961525,-8496614444,20200825,14:00:00,3414943,4,0
acwk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3590862444,-7914688109,20210428,0:01:00,120721,3,270
acwm,California_Environmental_Data_Exchange_Network,west,34942,-120557,20130528,18:20:00,6900,4,2491
acwx,California_Environmental_Data_Exchange_Network,west,371366,-120762,20150113,22:15:00,1713841,4,599
acwy,EPA_Central_Data_Exchange,midwest,4762155,-89463167,20180513,0:01:00,248172423,1,0
acxn,California_Environmental_Data_Exchange_Network,west,372343,-121.87,20150206,2:40:00,1487390,4,506
acyg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7903232432,20200311,0:01:00,854,1,304
acyi,EPA_Water_Quality_Data_Portal,midwest,44878889,-93490833,20130618,14:15:00,255,1,0
acyk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.61,-7899699829,20210518,0:01:00,48167,2,1736
acyl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572484521,-7912857211,20180806,0:01:00,7932,1,790
aczv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3564486809,-7927712096,20190702,0:01:00,34564,2,628
aczx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3562476,-7871115215,20160622,0:01:00,141355,3,864
adau,EPA_Central_Data_Exchange,midwest,44.14,-87233333,20160805,0:01:00,1358431788,1,0
addj,EPA_Central_Data_Exchange,midwest,41726667,-83.15,20180407,0:01:00,1835869681,1,0
adef,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35742,-792289065,20160524,0:01:00,13555,1,1232
adfl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586219473,-7877528111,20140519,0:01:00,654,1,1330
adgs,California_Environmental_Data_Exchange_Network,west,353207,-120806,20140227,16:20:00,1918376,4,851
adhj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569077842,-7919184749,20190219,0:01:00,1328,1,972
adjx,California_Environmental_Data_Exchange_Network,west,410491,-121762,20210823,16:45:00,293046,4,5527
admd,EPA_Central_Data_Exchange,midwest,46993333,-851645,20160822,0:01:00,9911813333,1,0
admk,EPA_National_Aquatic_Research_Survey,midwest,4548802,-9644255,20170821,0:01:00,303.4,3,0
admo,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569149702,-7919051278,20180809,0:01:00,1.54,1,819
adow,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566727765,-7923549762,20161213,0:01:00,484,1,162
adqc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567007219,-7923030706,20150806,0:01:00,1.67,1,772
adra,US_Army_Corps_of_Engineers,midwest,41299298,-80758329,20180705,14:10:00,153401361,1,38
adsv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3588523877,-7895971401,20180221,0:01:00,19461,1,33
adtv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7902184434,20170321,0:01:00,250082,3,0
adtx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3589309611,-7902260016,20211012,0:01:00,38727,2,288
aduy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358674433,-7881728806,20160719,0:01:00,90041,2,400
advr,EPA_Central_Data_Exchange,midwest,4785615,-88041917,20130415,0:01:00,434866119,1,0
adwf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570610848,-7916337357,20160608,0:01:00,1867,1,519
adwg,Indiana_State_Department_of_Health,midwest,4072010333,-851058325,20210524,23:00:00,3335,1,0
adwl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572521782,-7912788004,20130826,0:01:00,821,1,752
adxk,Indiana_State_Department_of_Health,midwest,4133056393,-8538360833,20200608,20:00:00,36556,2,0
adxl,California_Environmental_Data_Exchange_Network,west,373169,-120742,20170411,19:40:00,37479965,4,3579
adxo,US_Army_Corps_of_Engineers,northeast,41841242,-78994719,20200902,21:30:00,5300663072,1,0
adzg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569841683,-7917765997,20140722,0:01:00,13278,1,156
aeaj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.65,-7868778733,20210811,0:01:00,53089,2,527
aeap,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35794,-7901032624,20140805,0:01:00,7261,1,0
aebg,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563754905,-7929071528,20150723,0:01:00,73662,2,399
aecj,California_Environmental_Data_Exchange_Network,west,367962,-121782,20150826,14:40:00,219998,4,26
aeco,California_Environmental_Data_Exchange_Network,west,382996,-121383,20190319,15:06:00,1447213,4,1627
aecy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35659932,-7924914138,20200924,0:01:00,3.42,1,548
aedy,California_Environmental_Data_Exchange_Network,west,376756,-121264,20161018,19:25:00,2585039995,4,84
aeea,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-77.44,20210720,0:01:00,4034,1,162
aefb,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-7868256753,20200601,0:01:00,160332,3,188
aeib,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570435191,-7916663621,20140813,0:01:00,33112,2,692
aeid,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3916522,-9691105,20160926,0:01:00,389.34,3,0
aejc,US_Army_Corps_of_Engineers,northeast,42021242,-7895833,20171004,18:00:00,1045189394,1,0
aekm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565436,-7901216056,20160824,0:01:00,2905,1,150
aelv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.79,-7903326356,20200610,0:01:00,41955,2,381
aemv,California_Environmental_Data_Exchange_Network,west,393092,-121595,20141118,21:30:00,6065,4,2716
aepe,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.35,-7911398911,20191120,0:01:00,460856,3,1105
aepl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356465182,-7927405606,20180809,0:01:00,20206,2,767
aeqh,California_Environmental_Data_Exchange_Network,west,376756,-121264,20161114,20:45:00,1864626663,4,84
aetj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3591318977,-7918341968,20140610,0:01:00,4784,1,965
aeud,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,34.73,-76.73,20190116,0:01:00,218,1,167
aeuj,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3600756,-7897114786,20130812,0:01:00,58962,2,911
aeus,California_Environmental_Data_Exchange_Network,west,379893,-121463,20200317,18:40:00,17224535,4,21
aexi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3571124511,-7915383283,20160915,0:01:00,61359,2,577
aexm,California_Environmental_Data_Exchange_Network,west,344395,-119854,20190522,16:30:00,3635,4,529
aeyg,California_Environmental_Data_Exchange_Network,west,349454,-120417,20160420,15:25:00,455.05,3,1083
aeyz,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356296711,-7930534771,20160621,0:01:00,49377,2,814
aezm,California_Environmental_Data_Exchange_Network,west,355621,-119151,20170201,18:30:00,-243129,4,537
afas,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563565941,-7929422509,20170920,0:01:00,28446,2,584
afbi,EPA_National_Aquatic_Research_Survey,midwest,3884259,-8582827,20170810,0:01:00,3355.27,4,0
afbl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567826952,-7921508142,20180809,0:01:00,1682,1,564
afcm,Pennsylvania_Department_of_Environmental_Protection,northeast,4199847,-7895185,20190819,17:00:00,5688667,4,0
afef,EPA_Central_Data_Exchange,northeast,42516667,-79893333,20180408,0:01:00,1589790419,1,0
afeh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.51,-7904122242,20210802,0:01:00,19087,1,761
afek,US_Army_Corps_of_Engineers,northeast,41992305,-78929219,20190924,20:45:00,8393428023,1,0
afel,California_Environmental_Data_Exchange_Network,west,378189,-121358,20190716,16:40:00,28361765,4,162
affc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7879640887,20181025,0:01:00,29157,2,761
afgc,California_Environmental_Data_Exchange_Network,west,373978,-120.96,20141203,20:20:00,6347825,3,691
afgk,EPA_Central_Data_Exchange,midwest,4762155,-89463167,20160417,0:01:00,163905057,1,0
afgy,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570629478,-7916302753,20160525,0:01:00,5228,1,478
afhn,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3567137631,-792278848,20150422,0:01:00,399,1,594
afhu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-7882921903,20201117,0:01:00,250082,3,912
afhv,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3587017629,-7883916151,20180221,0:01:00,3268,1,111
afhy,California_Environmental_Data_Exchange_Network,west,349454,-120417,20190521,23:15:00,946832,4,1083
afip,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568758466,-7919777956,20210428,0:01:00,968,1,672
afiq,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570038632,-7917400186,20130730,0:01:00,6535,1,171
afix,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,389695,-947582,20211011,0:01:00,200722,3,0
afjc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,357228225,-7913232909,20130516,0:01:00,7745,1,934
afje,Connecticut_State_Department_of_Public_Health,northeast,4180086,-7324929,20200825,15:05:00,1236865,1,0
afjf,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36055,-78763,20130114,0:01:00,22385,2,0
afjv,California_Environmental_Data_Exchange_Network,west,34446,-119876,20180925,17:30:00,852.5,3,764
afke,Pennsylvania_Department_of_Environmental_Protection,northeast,413326,-7588683,20210819,15:48:00,234667,3,0
aflh,EPA_Central_Data_Exchange,northeast,43596667,-78801667,20140425,0:01:00,216766288,1,0
afnd,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35976,-7874893355,20150922,0:01:00,3227,1,1308
afos,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,358639339,-7878920057,20150324,0:01:00,1598,1,1799
afpq,California_Environmental_Data_Exchange_Network,west,367254,-121.73,20190118,20:18:00,5065,4,1123
afpw,California_Environmental_Data_Exchange_Network,west,366291,-121688,20180425,17:46:00,818996,4,100
afsc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.01,-7896294531,20180822,0:01:00,3646,1,1392
afsi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3586256741,-7877826385,20140623,0:01:00,47842,2,1515
afuh,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3920984,-9696101,20130903,0:01:00,18837,1,9
afum,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3570565603,-7916421395,20160810,0:01:00,1815,1,627
afvi,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3566216763,-7924498893,20190904,0:01:00,4383,1,141
afvu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36055,-78763,20140422,0:01:00,4.35,1,0
afwi,California_Environmental_Data_Exchange_Network,west,382104,-121262,20170228,15:20:00,4265.78,4,725
afyc,California_Environmental_Data_Exchange_Network,west,381688,-121.47,20210811,18:25:00,4335,4,0
afzm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3569559568,-7918289996,20151207,0:01:00,4212,1,355
agbg,California_Environmental_Data_Exchange_Network,west,369425,-121445,20210928,15:30:00,413577,4,338
agbl,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.17,-7905555825,20200623,0:01:00,32082,2,542
agca,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.31,-7911537326,20200601,0:01:00,20949,2,407
agcl,Pennsylvania_Department_of_Environmental_Protection,northeast,4048477,-7827506,20211108,15:35:00,64667,2,0
agcm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.02,-76.31,20170719,0:01:00,533858,3,0
agdh,California_Environmental_Data_Exchange_Network,west,376667,-120898,20181107,16:50:00,6037316,4,786
agdv,California_Environmental_Data_Exchange_Network,west,351117,-118615,20150915,16:00:00,2182,4,46
agem,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3563911932,-7928779868,20141125,0:01:00,73126,2,541
aggt,EPA_Central_Data_Exchange,northeast,42416667,-79.8,20160812,0:01:00,1579007713,1,0
aggu,EPA_Central_Data_Exchange,northeast,43516667,-79.08,20160408,0:01:00,108307139,1,0
aggy,Indiana_State_Department_of_Health,midwest,4133056393,-8538360833,20210817,19:00:00,121344,3,0
aghh,EPA_Central_Data_Exchange,midwest,41.95,-82686667,20160404,0:01:00,8292752191,1,0
aghm,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356677301,-7923465724,20160920,0:01:00,5474,1,250
agim,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35742,-7920355319,20150520,0:01:00,264,1,390
agis,EPA_National_Aquatic_Research_Survey,midwest,4747517,-8800176,20170718,0:01:00,198319,3,0
agix,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568225,-7907802,20141008,0:01:00,487965,3,0
agjr,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,356992685,-7917607808,20140414,0:01:00,9604,1,286
agku,EPA_Central_Data_Exchange,midwest,47370167,-90851833,20160418,0:01:00,560454116,1,0
aglm,California_Environmental_Data_Exchange_Network,west,38785,-121653,20140819,19:25:00,5935,4,66
agmv,New_Mexico_Environment_Department,west,361856,-1048038,20160503,0:01:00,3315384043,1,0
agpk,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3572295557,-7913208192,20180827,0:01:00,484,1,920
agqj,EPA_Central_Data_Exchange,midwest,42733333,-87416667,20190403,0:01:00,636345159,1,0
agqw,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36045,-7909164499,20130627,0:01:00,6406,1,538
agrt,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.11,-7890602465,20180827,0:01:00,3256,1,707
agsx,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36.03,-78.72,20190320,0:01:00,8751,1,0
agto,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3561133,-7897810759,20160722,0:01:00,1452,1,491
agtu,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3568836,-786997183,20160831,0:01:00,119232,3,0
aguh,Bureau_of_Water_Kansas_Department_of_Health_and_Environment,midwest,3851613412,-9570697032,20160718,0:01:00,714.42,3,0
agvj,Indiana_State_Department_of_Health,midwest,41702596,-85022696,20200706,14:00:00,142582,3,28
agwh,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,3565913356,-7925062439,20210524,0:01:00,871,1,591
agwi,EPA_National_Aquatic_Research_Survey,south,3453937,-9227375,20170607,0:01:00,1396378,3,38
agxc,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,35.98,-788326989,20210420,0:01:00,8.84,1,611
agxe,NC_Division_of_Water_Resources_NC_Department_of_Environmental_Quality,south,36028,-78716,20130227,0:01:00,22301,2,0
agxq,US_Army_Corps_of_Engineers,midwest,40954436,-8112694,20201007,15:30:00,237368421,1,191
